name,address,country,cost
Xandra Hayden,Ap #140-4765 Eu Av.,Belgium,9
Cora Mueller,195-8652 Arcu Rd.,Ukraine,4
Nayda Ortega,4016 Vulputate St.,France,6
Kaitlin Atkinson,"P.O. Box 431, 6332 Eleifend. Avenue",Singapore,8
Yael Raymond,Ap #889-5831 Ut Road,Costa Rica,1
Uma Roach,Ap #557-4119 Et Avenue,Philippines,3
Fallon Fowler,Ap #328-2740 Integer Av.,Italy,3
Camille Santiago,"756-4928 Ut, Ave",Spain,1
Rahim Gregory,Ap #552-3236 Lorem Road,Italy,5
Kareem Saunders,Ap #516-1982 Ultrices Rd.,Germany,9
Alisa Lewis,"314-7468 Sapien, Street",Singapore,6
Addison Bowers,"P.O. Box 992, 4444 Justo Road",Australia,4
MacKenzie Munoz,"P.O. Box 290, 7369 Purus. Street",Spain,3
Guinevere Sawyer,460-9694 Aliquam St.,Russian Federation,1
Gail Riddle,Ap #258-6153 Magna Road,Netherlands,6
Elijah Holt,226-6622 Hendrerit. Street,Philippines,2
Brendan Frost,Ap #818-2475 A Av.,Nigeria,9
Nadine Hogan,4263 Venenatis Ave,Norway,3
Seth Charles,Ap #939-5267 Tempor St.,Netherlands,4
Caryn Mcintosh,6487 Mauris St.,Russian Federation,4
Mary England,Ap #361-2368 Metus Rd.,New Zealand,3
Aaron Lewis,Ap #359-1244 Sed Ave,South Korea,2
Hedley Pennington,688-2780 Congue St.,Netherlands,3
Hyatt Leblanc,664-5246 Ultrices Street,Costa Rica,6
Vernon Richmond,7108 Ipsum Rd.,Chile,2
Shad Green,1017 Vitae St.,Canada,4
Rhoda Spence,Ap #750-4481 Libero. Street,Sweden,9
Audrey Browning,7352 Turpis Av.,Australia,8
Ali Pearson,Ap #671-9425 Mollis St.,Belgium,2
Hanae Lee,Ap #999-4208 Dapibus St.,Russian Federation,0
Deanna Gonzalez,"Ap #649-2609 Adipiscing, Av.",Netherlands,5
Justina Cooke,Ap #182-6132 Eget St.,New Zealand,7
Amos Espinoza,"P.O. Box 412, 1381 Nisi St.",Germany,4
Priscilla Merritt,Ap #286-6588 Arcu Rd.,Belgium,8
Dillon Hanson,Ap #868-5018 Natoque Rd.,Sweden,1
Miranda Bolton,"P.O. Box 157, 9654 Auctor St.",Indonesia,0
Hasad Ramos,"251-1490 Erat, St.",China,8
Kennan Serrano,660-9068 Et Rd.,Pakistan,9
Amela Thornton,741-6759 Ut Rd.,Italy,8
Gabriel Griffin,5430 Pede Avenue,United States,8
Claudia Woodard,Ap #448-4550 Neque St.,Sweden,7
Felix Fry,406 Laoreet St.,Peru,2
Vivian Turner,"P.O. Box 818, 6376 Accumsan Av.",Costa Rica,6
Carl Oneal,727-2562 Netus Rd.,China,4
Erin Hatfield,649-6257 Augue Ave,Nigeria,9
Macaulay Sims,883-2786 Sem Rd.,Germany,2
Margaret Dominguez,558-9687 Pharetra. Av.,Vietnam,7
Eaton Rodriguez,445-5057 Ipsum. St.,Australia,4
Dane Tanner,"P.O. Box 908, 3125 Euismod Rd.",Poland,9
Sharon Noble,553-6558 Facilisi. St.,Russian Federation,1
Ann Ingram,Ap #856-8149 Felis Rd.,India,1
Keaton Ward,2079 Mus. Road,Philippines,8
Hector Howell,"P.O. Box 105, 5361 Nam Av.",Brazil,4
Samuel Nguyen,Ap #157-1073 Molestie Street,Peru,6
Magee Burgess,2824 Blandit St.,Russian Federation,4
Jasper Richardson,"Ap #818-4979 Eu, St.",Sweden,3
Josiah Chase,"P.O. Box 808, 2531 Dolor St.",China,0
Isadora Frederick,Ap #717-436 Etiam St.,Mexico,8
Blaze Patrick,"4205 Eu, Avenue",Philippines,5
Lucas Gallagher,891-4013 Etiam Rd.,India,5
Jescie Rocha,315 Erat Avenue,China,7
Evelyn Fulton,6665 Facilisis Street,Costa Rica,5
Natalie Sloan,440-2175 Eleifend. Av.,Vietnam,5
Emma Carrillo,223-8006 Mauris Av.,India,3
